essai,ARI,silhouette
"k-means, graine 0",0.9675755163374651,0.3120370949806039
"k-means, graine 1",1.0,0.315065574055135
"k-means, graine 2",0.8054302022257158,0.31699415914120566
"k-means, graine 3",0.9675755163374651,0.3120370949806039
"k-means, graine 4",1.0,0.315065574055135
"k-means, graine 5",0.9675755163374651,0.3120370949806039
"k-means, graine 6",1.0,0.315065574055135
"k-means, graine 7",0.9675755163374651,0.3120370949806039
"k-means, graine 8",0.8129967374098456,0.31855584041432644
"k-means, graine 9",1.0,0.315065574055135
Classification hiérarchique (Ward),0.8247247529453661,0.314846012168058
k-means sans l'outre-mer (96 départements),0.649615082823184,0.29066109825155584
Clustering du traitement (partie supervisée),0.005863699116707103,
