C_REGION,L_REGION,C_DEPT,N_DEPT,RATIO_DMA,ANNEE,TONNAGE_DMA,VA_POPANNEE,cluster,RATIO_DMA_lag1,TONNAGE_DMA_lag1
84,Auvergne-Rhône-Alpes,01,Ain,487.5,2009,287065.55,588853,1,,
84,Auvergne-Rhône-Alpes,01,Ain,490.83,2011,296374.03,603827,1,487.5,287065.55
84,Auvergne-Rhône-Alpes,01,Ain,475.55,2013,294600.14,619497,1,490.83,296374.03
84,Auvergne-Rhône-Alpes,01,Ain,459.54,2015,290370.66,631877,1,475.55,294600.14
84,Auvergne-Rhône-Alpes,01,Ain,461.93,2017,297185.71,643350,1,459.54,290370.66
84,Auvergne-Rhône-Alpes,01,Ain,471.29,2019,307485.95,652432,1,461.93,297185.71
84,Auvergne-Rhône-Alpes,01,Ain,503.65,2021,334022.91,663202,1,471.29,307485.95
84,Auvergne-Rhône-Alpes,01,Ain,463.87,2023,315125.92,679344,1,503.65,334022.91
32,Hauts-de-France,02,Aisne,509.06,2009,274826.12,539870,0,,
32,Hauts-de-France,02,Aisne,518.14,2011,280467.64,541302,0,509.06,274826.12
32,Hauts-de-France,02,Aisne,521.53,2013,281659.72,540067,0,518.14,280467.64
32,Hauts-de-France,02,Aisne,495.57,2015,266966.98,538707,0,521.53,281659.72
32,Hauts-de-France,02,Aisne,527.39,2017,281907.86,534531,0,495.57,266966.98
32,Hauts-de-France,02,Aisne,538.77,2019,286274.98,531345,0,527.39,281907.86
32,Hauts-de-France,02,Aisne,558.58,2021,294634.12,527468,0,538.77,286274.98
32,Hauts-de-France,02,Aisne,500.35,2023,261854.58,523342,0,558.58,294634.12
84,Auvergne-Rhône-Alpes,03,Allier,502.33,2009,172323.7,343046,0,,
84,Auvergne-Rhône-Alpes,03,Allier,503.75,2011,172649.41,342729,0,502.33,172323.7
84,Auvergne-Rhône-Alpes,03,Allier,521.85,2013,179219.15,343431,0,503.75,172649.41
84,Auvergne-Rhône-Alpes,03,Allier,532.75,2015,181995.59,341613,0,521.85,179219.15
84,Auvergne-Rhône-Alpes,03,Allier,548.15,2017,185266.68,337988,0,532.75,181995.59
84,Auvergne-Rhône-Alpes,03,Allier,529.41,2019,177869.78,335975,0,548.15,185266.68
84,Auvergne-Rhône-Alpes,03,Allier,567.61,2021,190075.68,334872,0,529.41,177869.78
84,Auvergne-Rhône-Alpes,03,Allier,512.68,2023,170874.24,333298,0,567.61,190075.68
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,622.1,2009,99193.08,159450,0,,
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,633.95,2011,102040.17,160959,0,622.1,99193.08
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,604.77,2013,97921.21,161916,0,633.95,102040.17
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,637.98,2015,103224.83,161799,0,604.77,97921.21
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,642.44,2017,105306.16,163915,0,637.98,103224.83
93,Provence-Alpes-Côte d'Azur,04,Alpes-de-Haute-Provence,663.77,2019,109063.13,164308,0,642.44,105306.16
