"C_REGION";"L_REGION";"C_DEPT";"N_DEPT";"RATIO_DMA";"Annee";"TONNAGE_ DMA";"VA_POPANNEE"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"487,500000";"2009";"287065,55000";"588853"
"32";"Hauts-de-France";"02";"Aisne";"509,060000";"2009";"274826,12000";"539870"
"84";"Auvergne-Rhône-Alpes";"03";"Allier";"502,330000";"2009";"172323,70000";"343046"
"93";"Provence-Alpes-Côte d'Azur";"04";"Alpes-de-Haute-Provence";"622,100000";"2009";"99193,08000";"159450"
"93";"Provence-Alpes-Côte d'Azur";"05";"Hautes-Alpes";"662,860000";"2009";"90040,01000";"135836"
"93";"Provence-Alpes-Côte d'Azur";"06";"Alpes-Maritimes";"673,920000";"2009";"727223,28000";"1079100"
"84";"Auvergne-Rhône-Alpes";"07";"Ardèche";"482,930000";"2009";"151436,61000";"313578"
"44";"Grand Est";"08";"Ardennes";"520,250000";"2009";"147383,39000";"283296"
"76";"Occitanie";"09";"Ariège";"656,270000";"2009";"99173,75000";"151117"
"44";"Grand Est";"10";"Aube";"527,930000";"2009";"160120,99000";"303298"
"76";"Occitanie";"11";"Aude";"617,220000";"2009";"218484,48000";"353980"
"76";"Occitanie";"12";"Aveyron";"478,350000";"2009";"132526,93000";"277048"
"93";"Provence-Alpes-Côte d'Azur";"13";"Bouches-du-Rhône";"601,310000";"2009";"1182965,29000";"1967299"
"28";"Normandie";"14";"Calvados";"621,970000";"2009";"423506,54000";"680908"
"84";"Auvergne-Rhône-Alpes";"15";"Cantal";"543,240000";"2009";"80606,36000";"148380"
"75";"Nouvelle-Aquitaine";"16";"Charente";"504,860000";"2009";"177491,59000";"351563"
"75";"Nouvelle-Aquitaine";"17";"Charente-Maritime";"651,080000";"2009";"401462,01000";"616607"
"24";"Centre-Val de Loire";"18";"Cher";"528,480000";"2009";"164367,90000";"311022"
"75";"Nouvelle-Aquitaine";"19";"Corrèze";"512,760000";"2009";"124780,92000";"243352"
"27";"Bourgogne-Franche-Comté";"21";"Cote-d'Or";"518,170000";"2009";"271593,67000";"524144"
"53";"Bretagne";"22";"Cotes-d'Armor";"624,360000";"2009";"366822,63000";"587519"
"75";"Nouvelle-Aquitaine";"23";"Creuse";"457,010000";"2009";"56478,61000";"123584"
"75";"Nouvelle-Aquitaine";"24";"Dordogne";"617,870000";"2009";"254612,49000";"412082"
"27";"Bourgogne-Franche-Comté";"25";"Doubs";"527,120000";"2009";"276884,01000";"525276"
"84";"Auvergne-Rhône-Alpes";"26";"Drôme";"500,410000";"2009";"241691,29000";"482984"
"28";"Normandie";"27";"Eure";"591,650000";"2009";"344824,21000";"582822"
"24";"Centre-Val de Loire";"28";"Eure-et-Loir";"515,310000";"2009";"219265,06000";"425502"
"53";"Bretagne";"29";"Finistère";"701,620000";"2009";"627184,71000";"893914"
"94";"Corse";"2A";"Corse-du-Sud";"607,080000";"2009";"85797,97000";"141330"
"94";"Corse";"2B";"Haute-Corse";"571,790000";"2009";"93970,38000";"164344"
"76";"Occitanie";"30";"Gard";"567,190000";"2009";"398102,37000";"701883"
"76";"Occitanie";"31";"Haute-Garonne";"487,190000";"2009";"599647,26000";"1230820"
"76";"Occitanie";"32";"Gers";"478,400000";"2009";"89547,67000";"187181"
"75";"Nouvelle-Aquitaine";"33";"Gironde";"556,120000";"2009";"797837,48000";"1434661"
"76";"Occitanie";"34";"Hérault";"638,120000";"2009";"658522,51000";"1031974"
"53";"Bretagne";"35";"Ille-et-Vilaine";"496,460000";"2009";"485261,41000";"977449"
"24";"Centre-Val de Loire";"36";"Indre";"515,890000";"2009";"119825,54000";"232268"
"24";"Centre-Val de Loire";"37";"Indre-et-Loire";"492,310000";"2009";"289687,12000";"588420"
"84";"Auvergne-Rhône-Alpes";"38";"Isère";"541,980000";"2009";"648769,97000";"1197038"
"27";"Bourgogne-Franche-Comté";"39";"Jura";"494,550000";"2009";"129214,41000";"261277"
"75";"Nouvelle-Aquitaine";"40";"Landes";"817,980000";"2009";"310292,04000";"379341"
"24";"Centre-Val de Loire";"41";"Loir-et-Cher";"528,600000";"2009";"173309,63000";"327868"
"84";"Auvergne-Rhône-Alpes";"42";"Loire";"484,990000";"2009";"361859,78000";"746115"
"84";"Auvergne-Rhône-Alpes";"43";"Haute-Loire";"420,540000";"2009";"93832,68000";"223122"
"52";"Pays de la Loire";"44";"Loire-Atlantique";"526,020000";"2009";"666123,64000";"1266358"
"24";"Centre-Val de Loire";"45";"Loiret";"517,130000";"2009";"337948,11000";"653510"
"76";"Occitanie";"46";"Lot";"528,720000";"2009";"91765,25000";"173562"
"75";"Nouvelle-Aquitaine";"47";"Lot-et-Garonne";"530,750000";"2009";"174986,23000";"329697"
"76";"Occitanie";"48";"Lozère";"516,140000";"2009";"39826,60000";"77163"
"52";"Pays de la Loire";"49";"Maine-et-Loire";"459,940000";"2009";"358788,63000";"780082"
"28";"Normandie";"50";"Manche";"630,390000";"2009";"313784,12000";"497762"
"44";"Grand Est";"51";"Marne";"505,130000";"2009";"285975,49000";"566145"
"44";"Grand Est";"52";"Haute-Marne";"494,080000";"2009";"91511,09000";"185214"
"52";"Pays de la Loire";"53";"Mayenne";"498,070000";"2009";"151984,23000";"305147"
"44";"Grand Est";"54";"Meurthe-et-Moselle";"504,080000";"2009";"368492,16000";"731019"
"44";"Grand Est";"55";"Meuse";"457,370000";"2009";"88731,98000";"194003"
"53";"Bretagne";"56";"Morbihan";"586,450000";"2009";"420007,89000";"716182"
"44";"Grand Est";"57";"Moselle";"530,690000";"2009";"554517,21000";"1044898"
"27";"Bourgogne-Franche-Comté";"58";"Nièvre";"526,790000";"2009";"115999,56000";"220199"
"32";"Hauts-de-France";"59";"Nord";"565,350000";"2009";"1454047,96000";"2571940"
"32";"Hauts-de-France";"60";"Oise";"572,400000";"2009";"458786,05000";"801512"
"28";"Normandie";"61";"Orne";"540,350000";"2009";"157895,32000";"292210"
"32";"Hauts-de-France";"62";"Pas-de-Calais";"619,900000";"2009";"905832,29000";"1461257"
