C_DEPT,MEDIANE_REVENU,ANNEE
01,21489.6666666667,2013
02,18300.0,2013
03,18966.1904761905,2013
04,19003.3333333333,2013
05,19199.0,2013
06,20308.6666666667,2013
07,19154.0,2013
08,18171.0,2013
09,18522.6086956522,2013
10,19120.7407407407,2013
11,17653.3333333333,2013
12,19134.0,2013
13,19784.2857142857,2013
14,19850.0,2013
15,18710.6666666667,2013
16,19265.3333333333,2013
17,19631.0,2013
18,19440.7142857143,2013
19,19345.6,2013
21,20855.2666666667,2013
22,19844.0,2013
23,17745.5,2013
24,18755.7142857143,2013
25,20643.9285714286,2013
26,19391.3333333333,2013
27,20287.9166666667,2013
28,20715.5,2013
29,20267.3333333333,2013
2A,19490.5,2013
2B,17993.0,2013
30,18419.5238095238,2013
31,21791.5384615385,2013
32,19487.3333333333,2013
33,20800.5,2013
34,18764.6666666667,2013
35,20688.2608695652,2013
36,18926.5714285714,2013
37,20402.6666666667,2013
38,21213.3333333333,2013
39,19920.4761904762,2013
40,20024.6428571429,2013
41,19991.0,2013
42,19317.3333333333,2013
43,19208.3333333333,2013
44,20796.6666666667,2013
45,20677.6470588235,2013
46,19262.2222222222,2013
47,18618.0,2013
48,18788.1666666667,2013
49,19479.5535714286,2013
50,19249.0476190476,2013
51,20153.0769230769,2013
52,18717.9411764706,2013
53,19295.0,2013
54,20206.0,2013
55,19150.6666666667,2013
56,20117.9166666667,2013
57,20149.3333333333,2013
58,18971.0,2013
59,18574.6666666667,2013
60,20632.6666666667,2013
61,18684.0,2013
62,17706.1904761905,2013
63,20490.5555555556,2013
64,20510.0,2013
65,19359.3333333333,2013
66,17906.6666666667,2013
67,21495.3333333333,2013
68,21803.3333333333,2013
69,21267.1428571429,2013
70,18993.8888888889,2013
71,19363.4782608696,2013
72,19586.6666666667,2013
73,21195.4166666667,2013
74,24022.5,2013
75,25981.3333333333,2013
76,19811.3333333333,2013
77,22006.5,2013
78,25420.6666666667,2013
79,19335.3333333333,2013
80,18879.0,2013
81,19143.9285714286,2013
82,18689.0476190476,2013
83,19933.0,2013
84,18380.0,2013
85,19632.6666666667,2013
86,19654.0,2013
87,19492.0,2013
88,18946.0869565217,2013
89,19526.0,2013
90,20072.0,2013
91,22819.3333333333,2013
92,25787.1428571429,2013
93,16744.6428571429,2013
94,21526.0,2013
95,20778.3125,2013
01,22020.47619047619,2015
02,18604.285714285717,2015
03,19313.33333333333,2015
04,19498.09523809524,2015
05,19725.714285714286,2015
06,20987.6,2015
07,19613.0,2015
08,18541.180555555555,2015
09,18715.555555555555,2015
10,19481.0,2015
11,18130.0,2015
12,19565.0,2015
13,20287.0,2015
14,20276.19047619048,2015
15,19260.444444444445,2015
16,19627.33333333333,2015
17,20032.0,2015
18,19772.0,2015
19,19902.666666666668,2015
21,21223.75,2015
22,20064.23076923077,2015
23,18354.4,2015
24,19065.0,2015
25,21324.666666666668,2015
26,19843.33333333333,2015
27,20554.285714285717,2015
28,20961.36666666667,2015
29,20481.0,2015
2A,20072.666666666668,2015
2B,18530.434782608696,2015
30,18945.65714285714,2015
31,21989.0,2015
32,19687.33333333333,2015
33,21072.777777777777,2015
34,19319.0,2015
35,20926.0,2015
36,19174.666666666668,2015
37,20710.217391304348,2015
38,21672.85714285714,2015
39,20534.285714285717,2015
40,20229.0,2015
41,20328.666666666668,2015
42,19728.571428571428,2015
43,19604.0,2015
44,21276.0,2015
45,20921.33333333333,2015
46,19664.666666666668,2015
47,18917.33333333333,2015
48,19346.153846153844,2015
49,19941.2,2015
50,19758.09523809524,2015
51,20549.04761904762,2015
52,19091.33333333333,2015
53,19686.666666666664,2015
54,20502.38095238095,2015
55,19453.33333333333,2015
56,20359.444444444445,2015
57,20498.0,2015
58,19358.666666666668,2015
59,18920.0,2015
60,20956.25,2015
61,19060.0,2015
62,18099.285714285717,2015
63,20812.85714285714,2015
64,20788.0,2015
65,19522.5,2015
66,18388.0,2015
67,21512.424242424244,2015
68,21919.0,2015
69,21746.19047619048,2015
70,19460.0,2015
71,19736.666666666668,2015
72,19932.0,2015
73,21802.0,2015
74,25001.14285714286,2015
75,26430.9,2015
76,20153.0,2015
77,22338.666666666668,2015
78,25616.4,2015
79,19676.34523809524,2015
80,19204.666666666668,2015
81,19365.33333333333,2015
82,19007.321428571428,2015
83,20507.33333333333,2015
84,18886.666666666668,2015
85,20073.0,2015
86,19933.5,2015
87,19953.33333333333,2015
88,19126.0,2015
89,19807.777777777777,2015
90,20632.4,2015
91,22978.0,2015
92,26225.0,2015
93,16761.5,2015
94,21726.25,2015
95,21001.0,2015
972,16654.583333333336,2015
974,14258.0,2015
01,22640.0,2017
02,19100.0,2017
03,19750.0,2017
04,19940.0,2017
05,20350.0,2017
06,21590.0,2017
07,20150.0,2017
08,19040.0,2017
09,19190.0,2017
10,19820.0,2017
11,18560.0,2017
12,20090.0,2017
13,20800.0,2017
14,20880.0,2017
15,19880.0,2017
16,20070.0,2017
17,20610.0,2017
18,20240.0,2017
19,20410.0,2017
21,21680.0,2017
22,20590.0,2017
23,18820.0,2017
24,19540.0,2017
25,21900.0,2017
26,20440.0,2017
27,21060.0,2017
28,21360.0,2017
29,21030.0,2017
2A,20860.0,2017
2B,19260.0,2017
30,19490.0,2017
31,22510.0,2017
32,20130.0,2017
33,21710.0,2017
34,19850.0,2017
35,21470.0,2017
36,19620.0,2017
37,21100.0,2017
38,22260.0,2017
39,21050.0,2017
40,20800.0,2017
41,20720.0,2017
42,20220.0,2017
43,20140.0,2017
44,21910.0,2017
45,21280.0,2017
46,20220.0,2017
47,19300.0,2017
48,19770.0,2017
49,20440.0,2017
50,20300.0,2017
51,21020.0,2017
52,19700.0,2017
53,20170.0,2017
54,20990.0,2017
55,19890.0,2017
56,20940.0,2017
57,21050.0,2017
58,19810.0,2017
59,19490.0,2017
60,21500.0,2017
61,19530.0,2017
62,18610.0,2017
63,21330.0,2017
64,21250.0,2017
65,19910.0,2017
66,18880.0,2017
67,22090.0,2017
68,22490.0,2017
69,22410.0,2017
70,20090.0,2017
71,20230.0,2017
72,20490.0,2017
73,22460.0,2017
74,25700.0,2017
75,27400.0,2017
76,20620.0,2017
77,22820.0,2017
78,26130.0,2017
79,20180.0,2017
80,19720.0,2017
81,19880.0,2017
82,19560.0,2017
83,21050.0,2017
84,19400.0,2017
85,20720.0,2017
86,20350.0,2017
87,20400.0,2017
88,19660.0,2017
89,20230.0,2017
90,21310.0,2017
91,23360.0,2017
92,27090.0,2017
93,17310.0,2017
94,22290.0,2017
95,21470.0,2017
972,17580.0,2017
974,15020.0,2017
01,23490.0,2019
02,19880.0,2019
03,20570.0,2019
04,20690.0,2019
05,21020.0,2019
06,22300.0,2019
07,21010.0,2019
08,19840.0,2019
09,20010.0,2019
10,20580.0,2019
11,19550.0,2019
12,20850.0,2019
13,21650.0,2019
14,21730.0,2019
15,20690.0,2019
16,20940.0,2019
17,21540.0,2019
18,21090.0,2019
19,21170.0,2019
21,22590.0,2019
22,21450.0,2019
23,19690.0,2019
24,20400.0,2019
25,22750.0,2019
26,21260.0,2019
27,21790.0,2019
28,22180.0,2019
