code_insee,n,latitude,longitude
01001,1,46.1534255214,4.92611354223
01002,1,46.0091878776,5.42801696363
01004,519,45.9608475114,5.3729257777
01005,29,45.9961799872,4.91227250796
01007,28,46.0055913782,5.35760660735
01010,3,45.9093715116,5.79516005674
01014,49,46.2834936005,5.69061651221
01015,1,45.7237621545,5.65263086429
01021,14,45.9934611,4.82199649494
01022,20,45.8695891748,5.69065283943
01024,33,46.2861802203,5.1795233845
01025,20,46.3233203302,4.9528678933
01026,16,46.3077069231,4.92862084189
01027,10,45.8311226453,5.10780019249
01029,51,46.4288360203,5.26003405676
01030,1,46.0008580204,4.75600664694
01031,33,46.2373497134,5.6360052884
01032,42,45.8591464826,5.13989505865
01033,232,46.1067901755,5.83202736464
01034,480,45.7494697806,5.68412365526
01037,1,45.8374974718,5.48285330863
01040,1,46.3674371012,5.04021655965
01041,2,45.9368718303,5.36667617009
01043,78,45.8390325448,4.99738002182
01044,1,46.0791346715,5.76591818163
01046,4,46.2266794269,4.94084673168
01047,6,45.8469686113,5.25166055884
01049,29,45.8446213549,5.02783224111
01053,2108,46.2051520382,5.24602125501
01058,6,45.6416854652,5.61653371
01060,5,46.0759940484,5.61418361314
01062,1,45.869423064,5.1009428902
01063,2,46.1686327301,5.54656422194
01064,2,45.7708330939,5.48537461884
01065,10,46.2104135162,5.14487465017
01068,5,46.0720202633,5.47577586118
01069,4,46.1337950959,5.26239539372
01071,20,46.315689376,6.0779844362
01072,58,46.1832170988,5.32007207542
01073,2,45.8335530148,5.71933090966
01074,40,46.0076491739,5.16936568
01075,12,46.0340545373,4.79853838574
01078,8,46.1768358327,5.97115092939
01079,24,45.9316447397,5.69321890072
01082,37,46.005695299,5.76893393185
01083,6,46.0934984191,4.85473364691
01088,6,45.8736786869,5.2211032563
01089,17,45.9730390239,5.30754273532
01092,8,45.9748017433,5.2416027725
01093,172,46.1232390685,4.95810003714
01095,7,46.2750157946,5.41649423093
01098,6,45.7925770617,5.68477063188
01099,13,45.8929448968,5.25528498524
01103,4,46.283152935,6.04707941462
01104,1,46.222573373,5.87248105275
01105,28,45.922467454,4.88633786877
01108,25,46.3866637865,5.3308227014
01109,16,46.1419227898,5.90040256654
01112,4,46.105831161,5.55568206762
01113,4,46.1538469834,5.08437171701
01114,9,46.1543700156,5.83319395258
01115,2,46.270304175,5.05775217893
01118,13,45.9659473187,5.78961970355
01123,3,46.2403530179,4.8276569593
01130,4,46.3130831891,5.17796707174
01134,8,46.283072336,4.87747971182
01135,5,46.2915659686,5.99510417092
01138,38,45.8559966843,5.78398308932
01140,7,46.273150382,5.1020896267
01142,85,45.8531616918,5.07289166803
01143,124,46.3756333495,6.1158647611
01145,2,46.0667883703,5.21665199666
01147,2,46.4244066427,5.29313479651
01148,8,46.3133221173,5.64146584117
01155,2,45.965147537,5.50283599885
01156,1,45.9104942091,5.1249258559
01157,20,46.020997974,4.7620080898
01159,50,46.3365833672,4.88507050971
01160,197,46.2519789243,6.10826403805
01163,6,46.3784759782,5.18483641417
01165,1,46.0735946256,4.81293575559
01166,9,45.9939065077,4.78033196905
01169,1,46.1201611728,4.79288195016
01170,1,46.1896733539,5.55139781353
01173,171,46.3471891747,6.04650555568
01179,14,46.2633634407,4.84621318847
01180,3,46.3318810665,6.11366767978
01181,8,46.2260039429,5.61095413441
01183,4,46.106624674,4.78159420118
01185,328,45.9696520061,5.57627261783
01187,4,46.0317412192,5.70267027388
01189,3,46.0497734524,5.75991363273
01192,12,46.2179780137,5.56258251719
01194,82,45.9777239103,4.75984637871
01195,16,46.2150037064,5.31215372338
01197,1,46.1464982407,5.33452833151
01199,27,46.0497041467,5.41094771899
01202,106,45.8917015798,5.32917518895
01207,1,45.9859131165,4.98196682865
01211,18,46.1160216305,5.20200684747
01213,3,45.9269989549,5.2947657235
01216,11,45.7444141403,5.53602066955
01224,21,45.7921564114,5.21770971647
01227,3,45.7754050255,5.71540945601
01228,8,46.1201642836,5.52854394238
01229,1,46.3295545661,5.14386299599
01230,1,46.4302754511,5.10675899732
01231,18,46.3643830585,4.90242777155
01232,31,46.3434312497,5.24374534963
01235,5,46.0549073186,5.0741150816
01236,1,46.3409117711,5.06434294764
01237,3,46.2030768095,5.61384033805
01238,28,45.9094016817,4.82779660051
01240,1,46.2565319445,5.53958933702
01241,22,46.244997627,5.33594738489
01243,4,46.0472670758,4.75935643933
01244,189,45.9060530318,5.20404833653
01245,2,46.1427060662,5.3780109646
01246,14,46.2423102101,5.04725416984
01247,1,46.3622451724,6.00902631941
01248,23,45.8955939299,4.92416967439
01249,234,45.8442099203,4.94106746787
01250,5,45.9762325343,4.81028471711
01254,26,46.1686969123,5.27962107938
01258,4,46.0962893261,4.80453564172
01259,1,46.219333227,5.11149132074
01261,1,45.9622791838,4.94555984534
01262,125,45.8909006209,5.01987566185
01263,42,46.0849573236,4.7608579486
01264,3,46.1867200301,5.11706011755
01265,47,46.1795688194,5.59510550127
01266,84,46.3252811442,5.11295966315
01267,3,46.1830720992,5.51435812316
01268,2,45.6420014274,5.66039684889
01269,31,46.1537845403,5.61352793799
01272,15,46.1567753049,5.00942432434
01273,2,46.0909654813,5.37349784691
01274,1,46.1342937114,5.63714517869
01275,23,45.8184192468,4.9309045685
01276,6,45.8222941077,5.05949629195
01281,32,46.2774557513,6.09454723599
01283,557,46.2605435859,5.65344320923
01284,2,46.3867168877,4.91805840196
01285,1,45.9184267932,4.82747423402
01288,23,46.1913554154,5.91968751164
01289,174,46.1711903413,5.21802169564
01290,10,45.8803945768,5.17955874977
01293,1,46.1498184067,5.50572312284
01294,6,45.6762428663,5.67912809192
01296,1,46.385801285,5.27417594024
