code_insee,Médecin,Infirmier,Masseur-Kinésithérapeute,Psychologue,Pharmacien,Chirurgien-Dentiste,Sage-Femme,Orthophoniste,Autres professions,Tous
00000,0,0,5,0,0,0,0,0,0,5
01001,0,0,0,0,0,0,0,0,1,1
01002,0,0,0,1,0,0,0,0,0,1
01004,102,161,23,24,16,14,22,8,149,519
01005,1,5,4,0,2,2,0,2,13,29
01007,3,11,0,5,2,0,0,1,6,28
01010,0,2,1,0,0,0,0,0,0,3
01014,2,8,6,0,5,2,0,1,25,49
01015,0,0,0,0,0,0,0,1,0,1
01021,4,3,0,2,2,0,0,1,2,14
01022,5,4,4,1,3,0,1,1,1,20
01024,4,7,2,0,3,1,0,0,16,33
01025,0,5,5,2,3,0,0,2,3,20
01026,1,6,0,1,0,0,1,3,4,16
01027,0,4,5,0,0,0,0,1,0,10
01029,1,2,0,2,0,0,0,0,46,51
01030,0,0,0,0,0,0,0,0,1,1
01031,2,12,2,0,2,8,0,0,7,33
01032,1,19,9,0,3,3,0,1,6,42
01033,22,68,9,24,19,12,3,2,73,232
01034,71,163,26,26,17,7,13,7,150,480
01037,0,0,1,0,0,0,0,0,0,1
01040,0,1,0,0,0,0,0,0,0,1
01041,0,2,0,0,0,0,0,0,0,2
01043,8,12,8,3,4,3,2,3,35,78
01044,0,0,0,0,0,0,0,0,1,1
01046,1,2,1,0,0,0,0,0,0,4
01047,0,4,2,0,0,0,0,0,0,6
01049,3,4,7,0,2,4,0,0,9,29
01053,280,877,64,172,56,43,28,37,551,2108
01055,0,0,2,0,0,0,0,0,0,2
01058,0,5,0,0,0,0,0,0,1,6
01060,0,3,2,0,0,0,0,0,0,5
01062,0,0,0,0,0,0,0,0,1,1
01063,0,0,1,0,0,0,0,0,1,2
01064,0,0,0,0,0,0,0,0,2,2
01065,1,3,1,0,2,0,0,1,2,10
01068,0,4,0,0,0,0,0,0,1,5
01069,0,3,1,0,0,0,0,0,0,4
01071,3,0,1,1,2,8,0,1,4,20
01072,5,14,5,6,5,1,2,2,18,58
01073,1,0,0,0,0,0,0,0,1,2
01074,3,15,1,4,2,3,0,3,9,40
01075,1,4,1,0,0,0,0,0,6,12
01078,2,6,0,0,0,0,0,0,0,8
